audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies,CallDistance
HARPIA_20130208_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_054500.wav",0.935,-4.35,-3.078,8.095,4.6,0.554,0,0,0,2,3
HARPIA_20130208_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_060000.wav",2.59,-2.4,-4.536,6.42,2.4366666666666665,-0.52,0,0,0,2,4
HARPIA_20130208_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_061500.wav",1.4200000000000002,-2.4766666666666666,-5.012,5.734999999999999,4.303333333333334,-0.518,0,0,0,0,NA
HARPIA_20130208_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_063000.wav",-2.77,-4.28,-3.5,3.79,5.673333333333334,1.156,0,0,0,0,NA
HARPIA_20130208_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_064500.wav",-3.445,-4.556666666666667,-3.758,3.8899999999999997,5.913333333333333,2.072,0,0,0,1,4
HARPIA_20130208_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_070000.wav",0.009999999999999981,-3.0733333333333333,-2.5460000000000003,3.535,4.136666666666667,1.874,0,0,0,1,4
HARPIA_20130208_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_071500.wav",-2.91,-4.483333333333333,-2.874,3.64,4.903333333333333,3.5,0,0,0,0,NA
HARPIA_20130208_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_073000.wav",-1.135,-3.9633333333333334,-3.17,4.555,4.733333333333333,1.39,0,0,0,0,NA
HARPIA_20130208_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_074500.wav",-0.4,-3.4899999999999998,-2.832,4.22,5.383333333333333,1.19,0,0,0,0,NA
HARPIA_20130208_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/8 feb 2013/HARPIA_20130208_080000.wav",-0.545,-3.6966666666666668,-2.832,3.29,4.34,2.384,0,0,0,1,4
HARPIA_20130209_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_054500.wav",-0.305,-2.0966666666666667,-3.428,5.96,1.8733333333333335,-0.278,0,0,0,0,NA
HARPIA_20130209_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_060000.wav",-0.46499999999999997,-2.2333333333333334,-3.014,4.97,1.77,-0.134,0,0,0,0,NA
HARPIA_20130209_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_061500.wav",-0.42000000000000004,-1.8266666666666667,-1.61,1.32,1.7866666666666666,-0.158,0,0,0,0,NA
HARPIA_20130209_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_063000.wav",-0.28500000000000003,-2.0066666666666664,-1.6199999999999999,1.275,1.9333333333333333,-0.25,0,0,0,0,NA
HARPIA_20130209_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_064500.wav",-0.32499999999999996,-2.0933333333333333,-2.616,1.665,1.6833333333333333,-0.38,0,0,0,0,NA
HARPIA_20130209_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_070000.wav",-0.07,-2.1066666666666665,-1.892,1.5899999999999999,1.9733333333333332,-0.32,0,0,0,0,NA
HARPIA_20130209_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_071500.wav",-0.53,-2.0633333333333335,-1.9,1.68,2.223333333333333,-0.214,0,0,0,0,NA
HARPIA_20130209_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_073000.wav",-0.215,-2.0833333333333335,-1.666,1.385,1.7333333333333334,-0.328,0,0,0,0,NA
HARPIA_20130209_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_074500.wav",0.09499999999999997,-2.27,-1.822,1.54,1.8966666666666667,-0.37,0,0,0,0,NA
HARPIA_20130209_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/9 feb 2013/HARPIA_20130209_080000.wav",-0.11000000000000001,-2.44,-2.262,1.7799999999999998,1.8299999999999998,-0.352,0,0,0,0,NA
