audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,AutomatedDetection_titi_over_thresh_and_over_howler,ManualDetectionPrimateSpecies,CallDistance,low_freq_signal,high_freq_signal,start_signal,end_signal,inband_power_signal,low_freq_noise,high_freq_noise,start_noise,end_noise,inband_power_noise,Comments
HARPIA_20170216_073000.wav,"E:/For Sun - Full test dataset/Harpia 2017/2, 200/16 feb/HARPIA_20170216_073000.wav",-3.815,-6.926666667,-1.87,2.79,6.593333333,10.51,1,1,2,700,1400,9,14,,700,1400,,,,Duet starts 9 second into file.
PUMA_20140207_074500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_074500.wav",-3.6,-8.17,-3.1,5.425,10.98,10.042,1,1,2,700,1400,449,454,,700,1400,,,,
HARPIA_20130216_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/4,200/16 feb 2013/HARPIA_20130216_060000.wav",-2.025,-4.086666667,-1.294,2.195,7.39,6.156,1,1,3,700,1400,27,32,-45.69,700,1400,,,-53.58,"No time for SNR calculation right at the start, but possible for second bout"
HARPIA_20130219_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/4,200/19 feb 2013/HARPIA_20130219_060000.wav",-2.035,-3.33,-1.328,1.825,6.88,4.768,1,1,3,700,1400,256,261,-46.32,700,1400,246,251,-57.38,
HARPIA_20150208_073000.wav,"E:/For Sun - Full test dataset/Harpia 2015/3, -50/8 feb 2015/HARPIA_20150208_073000.wav",-1.71,-5.8,-1.812,4.485,11.03333333,5.072,1,1,3,700,1400,,,,700,1400,,,,
HARPIA_20160131_064500.wav,"E:/For Sun - Full test dataset/Harpia 2016/3, 400/31 Jan/HARPIA_20160131_064500.wav",-1.64,-5.146666667,-2.132,3.3,7.38,4.154,1,1,3,700,1400,,,,700,1400,,,,
HARPIA_20160204_073000.wav,"E:/For Sun - Full test dataset/Harpia 2016/1, 800/4 Feb/HARPIA_20160204_073000.wav",-0.925,-4.93,-2.774,4.055,7.13,4,0,1,3,700,1400,,,,700,1400,,,,
HARPIA_20170215_070000.wav,"E:/For Sun - Full test dataset/Harpia 2017/2, 200/15 feb/HARPIA_20170215_070000.wav",-2.12,-6.023333333,-1.95,3.405,8.186666667,5.3,1,1,3,700,1400,,,,700,1400,,,,
HARPIA_20170219_070000.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, 400/19 feb/HARPIA_20170219_070000.wav",-1.6,-4.12,-1.752,2.68,6.023333333,3.704,0,1,3,700,1400,,,,700,1400,,,,
PUMA_20130303_064500.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/3 mar 2013/PUMA_20130303_064500.wav",1.225,-2.36,-1.312,3.165,2.926666667,0.886,0,1,3,700,1400,,,,700,1400,,,,
