audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh_and_over_howler_spider,PrimateSpecies,CallDistance
HARPIA_20130210_073000.wav,-1.715,-4.01,-2.571,3.005,4.786666667,4.13,1,0,NA
HARPIA_20130222_054500.wav,-3.06,-3.01,-0.74,1.075,5.783333333,4.441,1,0,NA
HARPIA_20160128_074500.wav,-8.8,-6.613333333,-3.263,3.635,8.176666667,5.099,1,0,NA
PUMA_20160212_080000.wav,-9.575,-6.91,-2.709,2.725,8.58,5.623,1,0,NA
HARPIA_20170216_073000.wav,-3.815,-6.926666667,-1.809,2.79,6.593333333,8.185,1,1,2
HARPIA_20130216_060000.wav,-2.025,-4.086666667,-1.218,2.195,7.39,5.624,1,1,3
HARPIA_20130219_060000.wav,-2.035,-3.33,-1.339,1.825,6.88,4.867,1,1,3
HARPIA_20160131_064500.wav,-1.64,-5.146666667,-2.149,3.3,7.38,4.908,1,1,3
HARPIA_20160204_073000.wav,-0.925,-4.93,-2.696,4.055,7.13,4.184,1,1,3
HARPIA_20170215_070000.wav,-2.12,-6.023333333,-2.06,3.405,8.186666667,5.34,1,1,3
HARPIA_20170219_070000.wav,-1.6,-4.12,-1.602,2.68,6.023333333,4.035,1,1,3
PUMA_20140209_071500.wav,-1.96,-4.966666667,-1.92,3.64,7.74,5.811,1,1,3
PUMA_20160212_064500.wav,-1.86,-4.48,-1.54,1.815,4.17,4.715,1,1,3
PUMA_20160212_070000.wav,-2.925,-4.163333333,-1.763,1.415,6.01,4.368,1,1,3
PUMA_20170223_060000.wav,-2.655,-4.82,-1.868,2.735,8.473333333,5.72,1,1,3
PUMA_20170223_061500.wav,-1.43,-4.246666667,-2.584,3.98,8.666666667,4.457,1,1,3
PUMA_20150208_070000.wav,-6.245,-3.723333333,-2.218,3.45,8.796666667,5.217,1,1,4
PUMA_20150212_063000.wav,-3.495,-3.663333333,-2.122,2.54,7.533333333,4.584,1,1,4
HARPIA_20160127_063000.wav,-3.525,-5.096666667,-2.71,6.37,8.626666667,9.453,1,3,2
HARPIA_20150208_071500.wav,-2.14,-4.866666667,-2.291,5.205,7.306666667,6.222,1,3,3
PUMA_20140207_060000.wav,3.43,-2.593333333,-2.346,5.9,3.2,-0.173,0,0,4
HARPIA_20130208_061500.wav,1.42,-2.476666667,-4.303,5.735,4.303333333,0.115,0,0,NA
HARPIA_20130208_063000.wav,-2.77,-4.28,-2.978,3.79,5.673333333,1.588,0,0,NA
HARPIA_20130208_071500.wav,-2.91,-4.483333333,-2.656,3.64,4.903333333,3.139,0,0,NA
HARPIA_20130208_073000.wav,-1.135,-3.963333333,-3.101,4.555,4.733333333,1.578,0,0,NA
HARPIA_20130208_074500.wav,-0.4,-3.49,-2.595,4.22,5.383333333,1.529,0,0,NA
HARPIA_20130209_054500.wav,-0.305,-2.096666667,-3.167,5.96,1.873333333,-0.057,0,0,NA
HARPIA_20130209_060000.wav,-0.465,-2.233333333,-2.818,4.97,1.77,0.075,0,0,NA
HARPIA_20130209_061500.wav,-0.42,-1.826666667,-1.445,1.32,1.786666667,0.037,0,0,NA
HARPIA_20130209_063000.wav,-0.285,-2.006666667,-1.448,1.275,1.933333333,-0.002,0,0,NA
HARPIA_20130209_064500.wav,-0.325,-2.093333333,-2.362,1.665,1.683333333,-0.115,0,0,NA
HARPIA_20130209_070000.wav,-0.07,-2.106666667,-1.733,1.59,1.973333333,-0.095,0,0,NA
HARPIA_20130209_071500.wav,-0.53,-2.063333333,-1.719,1.68,2.223333333,0.014,0,0,NA
HARPIA_20130209_073000.wav,-0.215,-2.083333333,-1.549,1.385,1.733333333,-0.085,0,0,NA
HARPIA_20130209_074500.wav,0.095,-2.27,-1.693,1.54,1.896666667,-0.152,0,0,NA
HARPIA_20130209_080000.wav,-0.11,-2.44,-1.99,1.78,1.83,-0.122,0,0,NA
HARPIA_20130210_060000.wav,2.18,-1.97,-2.753,4.545,2.52,-0.43,0,0,NA
HARPIA_20130210_063000.wav,1.21,-2.383333333,-4.599,5.125,2.68,-1.775,0,0,NA
HARPIA_20130210_064500.wav,-6.405,-3.126666667,-4.514,4.685,7.323333333,2.123,0,0,NA
HARPIA_20130210_070000.wav,0.305,-2.39,-3.111,3.13,3.46,0.021,0,0,NA
