Row Labels,Average of max.score,,,,,,,,,,,,,,
F0b,1.406378287,,,,,,,,,,,,,,
Howler,1.51693617,,,,,Template,Species,Distance 1 averave max.score,Distance 2 averave max.score,Distance 3 averave max.score,Distance 4 averave max.score,,,,
1,6.09875,,,,,F0b,Titi,NA,7.1,4,2.9,,,,
2,2.9764,,,,,F1b,Titi,NA,7.4,4.6,2.7,,,,
3,1.486153846,,,,,F2b1,Titi,NA,,,,,,,
4,1.011156463,,,,,F2b2,Titi,NA,,,,,,,
(blank),2.453333333,,,,,F2b,Titi,NA,,,,,,,
None,1.217199533,,,,,F4b2,Titi,NA,,,,,,,
4,-0.31,,,,,F5b,Titi,NA,,,,,,,
(blank),1.218983645,,,,,F6b,Howler,,,,,,,,
Titi,2.909264706,,,,,F7b,Howler,,,,,,,,
2,7.126666667,,,,,,,,,,,,,,
3,4.039375,,,,,,,,,,,,,,
4,2.282040816,,,,,,,,,,,,,,
Titi/Howler,3.193157895,,,,,,,,,,,,,,
2,8.78,,,,,,,,,,,,,,
3,5.915,,,,,,,,,,,,,,
4,2.50375,,,,,,,,,,,,,,
F10b1,2.835343511,,,,,,,,,,,,,,
Howler,3.187191489,,,,,,,,,,,,,,
1,7.60875,,,,,,,,,,,,,,
2,3.8484,,,,,,,,,,,,,,
3,2.959615385,,,,,,,,,,,,,,
4,2.877142857,,,,,,,,,,,,,,
(blank),5.023333333,,,,,,,,,,,,,,
None,2.522427071,,,,,,,,,,,,,,
4,2.06,,,,,,,,,,,,,,
(blank),2.52296729,,,,,,,,,,,,,,
Titi,4.887794118,,,,,,,,,,,,,,
2,9.013333333,,,,,,,,,,,,,,
3,5.819375,,,,,,,,,,,,,,
4,4.331020408,,,,,,,,,,,,,,
Titi/Howler,5.252105263,,,,,,,,,,,,,,
2,7.91,,,,,,,,,,,,,,
3,6.86,,,,,,,,,,,,,,
4,4.885,,,,,,,,,,,,,,
F11b,4.092103478,,,,,,,,,,,,,,
Howler,5.770680851,,,,,,,,,,,,,,
1,16.255,,,,,,,,,,,,,,
2,9.7492,,,,,,,,,,,,,,
3,6.074423077,,,,,,,,,,,,,,
4,4.291088435,,,,,,,,,,,,,,
(blank),11.89333333,,,,,,,,,,,,,,
